@ TYPE             %05s "TWISS"
@ TITLE            %09s "CNAO SYNC"
@ ORIGIN           %18s "5.03.04 Windows 64"
@ DATE             %08s "11/09/17"
@ TIME             %08s "16.08.31"
* CyCo BP EdipInj EdipExtr S2kinj s2kextr S3kinj s3kextr S4kinj s4kextr S6 S8 S9 S0_29Acc S0_29FT S2_08Acc S2_08FT SC_08Acc SC_08FT SC_21Acc SC_21FT SE_16Acc SE_16FT BumpVert S4_08Acc S4_08FT S6_14Acc S6_14FT S8_08Acc S8_08FT S8_35Acc S8_35FT SA_08Acc SA_08FT
$ %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le
10 30 7.134663 115.3740422 0.47434 0.49773 0.34618 0.310799584692491 0.52017 0.533820775612604 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
11 32 7.134663 119.2369958 0.47434 0.49773 0.34618 0.310662468347749 0.52017 0.533768240168403 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
12 34 7.134663 123.0188641 0.47434 0.49773 0.34618 0.310551680694894 0.52017 0.533696989990231 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
13 36 7.134663 126.7243633 0.47434 0.49773 0.34618 0.310457302662578 0.52017 0.533660981212687 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
14 38 7.134663 130.3579155 0.47434 0.49773 0.34618 0.310405077763349 0.52017 0.533641014847501 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
15 40 7.134663 133.9236631 0.47434 0.49773 0.34618 0.310352933569767 0.52017 0.533621126172149 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
16 42 7.134663 137.4254829 0.47434 0.49773 0.34618 0.310301081035427 0.52017 0.533601288123375 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
17 44 7.134663 140.867 0.47434 0.49773 0.34618 0.310249709548205 0.52017 0.533581657674289 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
18 46 7.134663 144.2516004 0.47434 0.49773 0.34618 0.310219071366647 0.52017 0.53356981235701 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
19 48 7.134663 147.5824437 0.47434 0.49773 0.34618 0.310189485257886 0.52017 0.533558615497439 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
20 50 7.134663 150.8624746 0.47434 0.49773 0.34618 0.310158816511632 0.52017 0.533546721919399 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
21 52 7.134663 154.094434 0.47434 0.49773 0.34618 0.310144836016261 0.52017 0.533541528961841 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
22 54 7.134663 157.2808702 0.47434 0.49773 0.34618 0.31012956605872 0.52017 0.533535548433443 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
23 56 7.134663 160.4241487 0.47434 0.49773 0.34618 0.310115558935899 0.52017 0.533530334703638 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
24 58 7.134663 163.5264622 0.47434 0.49773 0.34618 0.310099879506285 0.52017 0.533524286761677 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
25 60 7.134663 166.5898404 0.47434 0.49773 0.34618 0.31010575990212 0.52017 0.533526531271687 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
